Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	myeloid DCStep
ENSG00000049860	HEXB	 ,	"Hexosaminidase subunit beta"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3074	HEXB	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000050130	JKAMP	 C14orf100, CDA06, HSPC213, HSPC327, JAMP,	"JNK1/MAPK8 associated membrane protein"	"Cancer-related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	51528	JKAMP	DCHighExpr
ENSG00000051382	PIK3CB	 PIK3C1,	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5291	PIK3CB	FunctionGene
ENSG00000051523	CYBA	 p22-PHOX,	"Cytochrome b-245 alpha chain"	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	1535	CYBA	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000051620	HEBP2	 C6orf34, SOUL,	"Heme binding protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	23593	HEBP2	DCHighExpr
ENSG00000052795	FNIP2	 FNIPL, KIAA1450, MAPO1,	"Folliculin interacting protein 2"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	57600	FNIP2	CancerDExpr
ENSG00000052841	TTC17	 FLJ10890,	"Tetratricopeptide repeat domain 17"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55761	TTC17	DCHighExpr
ENSG00000053254	FOXN3	 C14orf116, CHES1,	"Forkhead box N3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	1112	FOXN3	CancerDExpr,TF,DCHighExpr
ENSG00000054148	PHPT1	 bA216L13.10, CGI-202, DKFZp564M173, HSPC141, PHP14,	"Phosphohistidine phosphatase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29085	PHPT1	TopGeneInFirstStep,DCHighExpr
ENSG00000054267	ARID4B	 BCAA, BRCAA1, RBP1L1, SAP180,	"AT-rich interaction domain 4B"	"Metabolic proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	51742	ARID4B	DCHighExpr
ENSG00000054277	OPN3	 ECPN, encephalopsin, ERO, NMO-1, PPP1R116,	"Opsin 3"	"G-protein coupled receptors, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	23596	OPN3	CancerDExpr,DCHighExpr
ENSG00000054282	SDCCAG8	 BBS16, CCCAP, NPHP10, NY-CO-8, SLSN7,	"SHH signaling and ciliogenesis regulator SDCCAG8"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10806	SDCCAG8	CancerDExpr
ENSG00000054967	RELT	 FLJ14993, TNFRSF19L,	"RELT TNF receptor"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	84957	RELT	DCHighExpr
ENSG00000055163	CYFIP2	 PIR121,	"Cytoplasmic FMR1 interacting protein 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26999	CYFIP2	DCHighExpr
ENSG00000055609	KMT2C	 HALR, KIAA1506, MLL3,	"Lysine methyltransferase 2C"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	58508	KMT2C	DCHighExpr
ENSG00000056097	ZFR	 SPG71, ZFR1,	"Zinc finger RNA binding protein"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51663	ZFR	DCHighExpr
ENSG00000057252	SOAT1	 ACAT, SOAT, STAT,	"Sterol O-acyltransferase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6646	SOAT1	CancerDExpr
ENSG00000058272	PPP1R12A	 M130, MBS, MYPT1,	"Protein phosphatase 1 regulatory subunit 12A"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4659	PPP1R12A	DCHighExpr
ENSG00000059377	TBXAS1	 CYP5, CYP5A1, THAS, TS, TXAS, TXS,	"Thromboxane A synthase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6916	TBXAS1	TopGeneInFirstStep,CancerDExpr
ENSG00000059728	MXD1	 bHLHc58, MAD, MAD1,	"MAX dimerization protein 1"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4084	MXD1	CancerDExpr,TF
ENSG00000059804	SLC2A3	 GLUT3,	"Solute carrier family 2 member 3"	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	6515	SLC2A3	CancerDExpr,DCHighExpr
ENSG00000060138	YBX3	 CSDA, CSDA1, dbpA, ZONAB,	"Y-box binding protein 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	8531	YBX3	CancerDExpr,TF,DCHighExpr
ENSG00000060558	GNA15	 GNA16,	"G protein subunit alpha 15"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	2769	GNA15	CancerDExpr,DCHighExpr
ENSG00000060762	MPC1	 BRP44L, CGI-129, dJ68L15.3, SLC54A1,	"Mitochondrial pyruvate carrier 1"	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51660	MPC1	TopGeneInFirstStep,DCHighExpr
ENSG00000060971	ACAA1	 ,	"Acetyl-CoA acyltransferase 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	30	ACAA1	TopGeneInFirstStep,DCHighExpr
ENSG00000060982	BCAT1	 BCT1,	"Branched chain amino acid transaminase 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	586	BCAT1	CancerDExpr
ENSG00000062485	CS	 ,	"Citrate synthase"	"Citric acid cycle related proteins, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1431	CS	TopGeneInFirstStep
ENSG00000064601	CTSA	 GSL, PPGB,	"Cathepsin A"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5476	CTSA	TopGeneInFirstStep,CancerDExpr
ENSG00000064666	CNN2	 ,	"Calponin 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	1265	CNN2	TopGeneInFirstStep,DCHighExpr
ENSG00000064989	CALCRL	 CGRPR, CRLR,	"Calcitonin receptor like receptor"	"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10203	CALCRL	FunctionGene,DCHighExpr
ENSG00000065029	ZNF76	 D6S229E, Zfp523, ZNF523,	"Zinc finger protein 76"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7629	ZNF76	TF
ENSG00000065135	GNAI3	 87U6,	"G protein subunit alpha i3"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2773	GNAI3	DCHighExpr
ENSG00000065243	PKN2	 Pak-2, PRK2, PRKCL2, STK7,	"Protein kinase N2"	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	5586	PKN2	DCHighExpr
ENSG00000065413	ANKRD44	 PP6-ARS-B,	"Ankyrin repeat domain 44"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	91526	ANKRD44	DCHighExpr
ENSG00000065615	CYB5R4	 b5+b5R, dJ676J13.1, NCB5OR,	"Cytochrome b5 reductase 4"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51167	CYB5R4	CancerDExpr
ENSG00000065809	FAM107B	 C10orf45, FLJ45505, HITS, MGC11034,	"Family with sequence similarity 107 member B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83641	FAM107B	DCHighExpr
ENSG00000065883	CDK13	 CDC2L, CDC2L5, CHED, KIAA1791,	"Cyclin dependent kinase 13"	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8621	CDK13	DCHighExpr
ENSG00000065923	SLC9A7	 NHE7,	"Solute carrier family 9 member A7"	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	84679	SLC9A7	DCHighExpr
ENSG00000065989	PDE4A	 DPDE2,	"Phosphodiesterase 4A"	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5141	PDE4A	DCHighExpr
ENSG00000066294	CD84	 hCD84, mCD84, SLAMF5,	"CD84 molecule"	"CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	8832	CD84	CancerDExpr
ENSG00000066422	ZBTB11	 ZNF-U69274, ZNF913,	"Zinc finger and BTB domain containing 11"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	27107	ZBTB11	TF
ENSG00000066654	THUMPD1	 FLJ20274, Tan1,	"THUMP domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	55623	THUMPD1	DCHighExpr
ENSG00000066933	MYO9A	 FLJ11061, FLJ13244, MGC71859,	"Myosin IXA"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	4649	MYO9A	DCHighExpr
ENSG00000067066	SP100	 ,	"SP100 nuclear antigen"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6672	SP100	TF,DCHighExpr
ENSG00000067082	KLF6	 BCD1, COPEB, CPBP, GBF, PAC1, ST12, Zf9,	"Kruppel like factor 6"	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	1316	KLF6	CancerDExpr,TF,DCHighExpr
ENSG00000067182	TNFRSF1A	 CD120a, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR60,	"TNF receptor superfamily member 1A"	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	7132	TNFRSF1A	TopGeneInFirstStep,FunctionGene
ENSG00000067646	ZFY	 ZNF911,	"Zinc finger protein Y-linked"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	7544	ZFY	TF
ENSG00000067900	ROCK1	 p160ROCK,	"Rho associated coiled-coil containing protein kinase 1"	"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	6093	ROCK1	DCHighExpr
ENSG00000068796	KIF2A	 HK2, KIF2,	"Kinesin family member 2A"	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3796	KIF2A	DCHighExpr
ENSG00000068831	RASGRP2	 CALDAG-GEFI,	"RAS guanyl releasing protein 2"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	10235	RASGRP2	DCHighExpr
ENSG00000069399	BCL3	 BCL4, D19S37,	"BCL3 transcription coactivator"	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	602	BCL3	FunctionGene,DCHighExpr
ENSG00000069424	KCNAB2	 AKR6A5, HKvbeta2.1, HKvbeta2.2, KCNA2B,	"Potassium voltage-gated channel subfamily A regulatory beta subunit 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	8514	KCNAB2	CancerDExpr,DCHighExpr
ENSG00000069849	ATP1B3	 CD298, FLJ29027,	"ATPase Na+/K+ transporting subunit beta 3"	"CD markers, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	483	ATP1B3	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000069966	GNB5	 GB5,	"G protein subunit beta 5"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at transcript level"	10681	GNB5	DCHighExpr
ENSG00000069998	HDHD5	 CECR5,	"Haloacid dehalogenase like hydrolase domain containing 5"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	27440	HDHD5	TopGeneInFirstStep
ENSG00000070081	NUCB2	 NEFA,	"Nucleobindin 2"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	4925	NUCB2	DCHighExpr
ENSG00000070190	DAPP1	 BAM32,	"Dual adaptor of phosphotyrosine and 3-phosphoinositides 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	27071	DAPP1	TopGeneInFirstStep,CancerDExpr
ENSG00000070495	JMJD6	 KIAA0585, PTDSR, PTDSR1,	"Jumonji domain containing 6, arginine demethylase and lysine hydroxylase"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23210	JMJD6	DCHighExpr
ENSG00000070501	POLB	 ,	"DNA polymerase beta"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5423	POLB	DCHighExpr
ENSG00000070961	ATP2B1	 PMCA1,	"ATPase plasma membrane Ca2+ transporting 1"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	490	ATP2B1	DCHighExpr
ENSG00000071054	MAP4K4	 FLH21957, HGK, NIK,	"Mitogen-activated protein kinase kinase kinase kinase 4"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9448	MAP4K4	DCHighExpr
ENSG00000071073	MGAT4A	 GnT-4a, GnT-Iva,	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at protein level"	11320	MGAT4A	DCHighExpr
ENSG00000071127	WDR1	 ,	"WD repeat domain 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9948	WDR1	TopGeneInFirstStep,DCHighExpr
ENSG00000071626	DAZAP1	 MGC19907,	"DAZ associated protein 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26528	DAZAP1	DCHighExpr
ENSG00000072135	PTPN18	 BDP1,	"Protein tyrosine phosphatase non-receptor type 18"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26469	PTPN18	DCHighExpr
ENSG00000072401	UBE2D1	 E2(17)KB1, SFT, UBC4/5, UBCH5, UbcH5A,	"Ubiquitin conjugating enzyme E2 D1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	7321	UBE2D1	CancerDExpr
ENSG00000072694	FCGR2B	 CD32, CD32B, FCG2, FCGR2,	"Fc fragment of IgG receptor IIb"	"Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2213	FCGR2B	TopGeneInFirstStep,CancerDExpr
ENSG00000072736	NFATC3	 NFAT4, NFATX,	"Nuclear factor of activated T cells 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4775	NFATC3	TF,FunctionGene
ENSG00000072778	ACADVL	 ACAD6, LCACD, VLCAD,	"Acyl-CoA dehydrogenase very long chain"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	37	ACADVL	TopGeneInFirstStep,DCHighExpr
ENSG00000072786	STK10	 LOK, PRO2729,	"Serine/threonine kinase 10"	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6793	STK10	DCHighExpr
